,price,kms_driven,owner,age,power,brand
2619,42500,50788,First Owner,12,223,Hero
2620,30000,53301,First Owner,9,125,Hero
2621,30000,50000,First Owner,8,150,Honda
2622,19500,48101,First Owner,6,100,Bajaj
2623,105200,20000,First Owner,4,350,Royal Enfield
2624,17000,100000,Second Owner,11,150,Yamaha
2625,160000,10000,First Owner,2,350,Royal Enfield
2626,80000,13260,Second Owner,5,350,Royal Enfield
2627,33000,57000,Third Owner,10,150,Yamaha
2628,16400,55000,Second Owner,11,150,Bajaj
2629,46000,1656,First Owner,6,220,Bajaj
2630,125000,3841,First Owner,3,350,Royal Enfield
2631,50000,11584,First Owner,2,110,Hero
2632,114000,31216,First Owner,5,500,Royal Enfield
2633,25000,26460,First Owner,8,110,Mahindra
2634,135000,9324,First Owner,4,400,Bajaj
2635,55000,3607,First Owner,4,125,Hero
2636,89000,48602,First Owner,9,350,Royal Enfield
2637,19000,23588,First Owner,12,100,Hero
2638,52000,31782,First Owner,6,220,Bajaj
2639,28000,32041,First Owner,5,125,Hero
2640,89900,6000,First Owner,4,150,Suzuki
2641,135000,2200,First Owner,3,350,Royal Enfield
2642,421000,10000,First Owner,5,750,Harley-Davidson
2643,102200,15400,First Owner,5,350,Royal Enfield
2644,96000,9000,First Owner,16,350,Royal Enfield
2645,91100,18470,First Owner,6,200,Bajaj
2646,100000,40000,First Owner,6,350,Royal Enfield
2647,12000,32148,Second Owner,14,150,Bajaj
2648,17500,30000,First Owner,12,150,Bajaj
2649,85000,2700,First Owner,6,200,Bajaj
2650,52000,28000,First Owner,5,150,Suzuki
2651,85000,8811,First Owner,3,200,TVS
2652,70000,14600,First Owner,4,150,Bajaj
2653,45000,15091,Second Owner,7,220,Bajaj
2654,60000,1877,First Owner,2,100,Hero
2655,110000,50697,First Owner,8,500,Royal Enfield
2656,60000,15097,Second Owner,5,220,Bajaj
2657,81700,16000,First Owner,5,200,Bajaj
2658,13000,135000,First Owner,10,125,Bajaj
2659,74000,13059,First Owner,3,150,Suzuki
2660,122400,17000,First Owner,5,500,Royal Enfield
2661,65000,48000,First Owner,5,150,Yamaha
2662,12000,60000,First Owner,13,150,Hero
2663,75000,4100,First Owner,5,160,Honda
2664,31000,38140,First Owner,8,160,TVS
2665,85000,50143,First Owner,14,500,Royal Enfield
2666,75000,34640,First Owner,6,200,Bajaj
2667,85000,2500,First Owner,3,160,Bajaj
2668,27999,53999,First Owner,11,180,Bajaj
2669,146000,5000,First Owner,4,350,Royal Enfield
2670,80000,45945,First Owner,7,150,Honda
2671,40000,26070,Second Owner,8,220,Bajaj
2672,115000,4376,First Owner,5,350,Royal Enfield
2673,420000,5000,First Owner,6,650,Kawasaki
2674,36700,11000,First Owner,4,125,Bajaj
2675,43000,12000,First Owner,8,200,Bajaj
2676,100000,21306,First Owner,5,200,Bajaj
2677,79000,9556,First Owner,4,200,Bajaj
2678,110000,75956,First Owner,7,500,Royal Enfield
2679,40000,29800,First Owner,6,150,Honda
2680,37000,17288,First Owner,4,125,Bajaj
2681,17000,70000,First Owner,11,180,Bajaj
2682,90000,34276,First Owner,8,350,Royal Enfield
2683,40000,7600,First Owner,8,220,Bajaj
2684,75000,12000,First Owner,5,200,Bajaj
2685,51000,25102,First Owner,6,220,Bajaj
2686,25000,30000,First Owner,11,150,Honda
2687,20050,39000,First Owner,14,100,Hero
2688,13900,99999,First Owner,17,125,Bajaj
2689,60000,20500,First Owner,10,150,Yamaha
2690,94049,32000,First Owner,7,350,Royal Enfield
2691,63000,15500,First Owner,8,350,Royal Enfield
2692,145000,7000,First Owner,5,300,Mahindra
2693,120000,12300,First Owner,5,350,Royal Enfield
2694,80000,14448,First Owner,6,350,Royal Enfield
2695,33680,28000,First Owner,4,100,Hero
2696,14000,70756,First Owner,13,100,Hero
2697,30000,35000,First Owner,9,150,Bajaj
2698,27000,61000,First Owner,6,135,Bajaj
2699,75000,48000,First Owner,8,150,Yamaha
2700,45400,12510,First Owner,4,150,Hero
2701,40000,15450,First Owner,6,100,Hero
2702,55000,13443,First Owner,3,125,Honda
2703,175000,14200,First Owner,5,390,KTM
2704,90000,35123,First Owner,6,350,Royal Enfield
2705,40000,19500,First Owner,6,180,TVS
2706,140000,16000,First Owner,6,350,Royal Enfield
2707,25000,22113,First Owner,18,100,Hero
2708,450000,21913,First Owner,4,750,Harley-Davidson
2709,370000,4899,Second Owner,5,750,Harley-Davidson
2710,40000,12530,First Owner,3,110,TVS
2711,65000,28000,First Owner,4,200,TVS
2712,105000,23397,First Owner,4,350,Royal Enfield
2715,33000,17500,First Owner,11,100,Hero
2716,75000,14271,First Owner,4,200,TVS
2717,15000,23000,First Owner,17,150,Bajaj
2718,110400,10600,First Owner,5,350,Royal Enfield
2719,109000,35000,First Owner,4,350,Royal Enfield
2720,74500,26081,First Owner,7,350,Royal Enfield
2721,84000,16694,First Owner,7,350,Royal Enfield
2722,57000,6777,First Owner,5,220,Bajaj
2723,146300,750,First Owner,4,350,Royal Enfield
2724,128000,18552,First Owner,4,500,Royal Enfield
2725,108000,56273,First Owner,5,350,Royal Enfield
2726,10500,39252,First Owner,17,100,Hero
2727,100000,14576,Second Owner,6,350,Royal Enfield
2728,53000,2792,Second Owner,5,150,Bajaj
2729,66000,15306,Second Owner,13,350,Royal Enfield
2730,17000,30124,First Owner,11,125,Honda
2731,45000,17281,First Owner,3,125,Bajaj
2732,98000,14495,First Owner,3,150,Suzuki
2733,17000,55534,First Owner,10,150,Bajaj
2734,900000,13782,First Owner,4,883,Harley-Davidson
2735,167000,2500,First Owner,2,350,Royal Enfield
2736,85000,5848,First Owner,3,200,Bajaj
2737,65000,23000,First Owner,5,150,Yamaha
2738,415000,8500,First Owner,5,650,Kawasaki
2739,62000,7500,Second Owner,3,160,Honda
2740,147000,200,First Owner,4,350,Royal Enfield
2741,136000,5800,First Owner,5,350,Royal Enfield
2742,38000,29030,First Owner,4,125,Hero
2743,32600,25000,First Owner,10,150,Yamaha
2744,64000,31571,Second Owner,10,350,Royal Enfield
2745,40000,40169,First Owner,5,150,Yamaha
2746,108000,10200,First Owner,5,200,Bajaj
2747,80162,17500,Second Owner,9,350,Royal Enfield
2748,192000,7390,First Owner,6,250,Hyosung
2749,55000,14061,First Owner,6,180,TVS
2750,111300,20000,First Owner,8,500,Royal Enfield
2751,84800,20000,Second Owner,6,350,Royal Enfield
2752,100000,11937,First Owner,4,350,Royal Enfield
2753,105000,10500,First Owner,4,200,Bajaj
2754,18000,52928,First Owner,11,100,Hero
2755,14000,58000,First Owner,11,150,Hero
2756,32000,37000,Second Owner,9,220,Bajaj
2757,70700,12000,First Owner,5,200,Bajaj
2758,40400,33000,First Owner,5,180,Bajaj
2759,110000,100670,First Owner,5,350,Royal Enfield
2760,32500,56482,First Owner,8,150,Bajaj
2761,55000,29331,First Owner,4,150,Suzuki
2762,35000,67363,First Owner,8,180,TVS
2763,25000,55000,First Owner,10,150,Yamaha
2764,77616,31530,First Owner,6,350,Royal Enfield
2765,20000,51000,First Owner,10,100,Hero
2766,86000,15000,First Owner,7,350,Royal Enfield
2767,50000,13000,First Owner,7,220,Bajaj
2768,72000,21458,First Owner,5,200,TVS
2769,50000,33000,First Owner,6,150,Yamaha
2770,25000,33755,First Owner,7,110,Honda
2771,67000,35409,First Owner,4,180,Bajaj
2772,58000,8000,First Owner,4,125,Honda
2773,50000,20000,First Owner,6,180,Bajaj
2774,64400,3310,First Owner,5,160,Honda
2775,16000,58000,First Owner,13,100,Hero
2776,95000,33300,First Owner,8,390,KTM
2777,100000,15000,First Owner,6,200,Bajaj
2778,95000,18000,First Owner,8,500,Royal Enfield
2779,52200,29000,First Owner,4,150,Suzuki
2780,17000,20000,Second Owner,8,125,Bajaj
2781,36000,14615,First Owner,12,150,Yamaha
2782,47000,2860,First Owner,2,110,Bajaj
2783,51100,24065,First Owner,6,150,Hero
2784,24000,9614,First Owner,11,150,Yamaha
2785,12200,30000,Second Owner,14,150,Bajaj
2786,55000,7034,First Owner,4,160,Bajaj
2787,110000,21000,First Owner,4,350,Royal Enfield
2788,79400,19225,First Owner,10,350,Royal Enfield
2789,19000,68000,First Owner,10,110,Honda
2790,83000,29500,First Owner,6,150,Yamaha
2791,22500,20000,First Owner,8,110,Mahindra
2792,51500,32000,First Owner,7,220,Bajaj
2793,30000,30000,First Owner,7,125,Honda
2794,46900,20468,First Owner,4,150,Bajaj
2795,50000,45000,First Owner,7,150,Yamaha
2796,95000,30000,Third Owner,8,500,Royal Enfield
2797,26000,30000,First Owner,6,100,Hero
2798,55000,39309,Second Owner,8,200,Bajaj
2799,48999,9600,First Owner,5,150,Bajaj
2800,70000,14854,First Owner,7,150,Yamaha
2801,55000,12000,First Owner,5,220,Bajaj
2802,46000,35596,First Owner,5,150,Bajaj
2803,63000,45686,First Owner,4,250,Yamaha
2804,89000,24516,First Owner,6,350,Royal Enfield
2805,50000,14000,First Owner,5,150,Bajaj
2806,39000,96611,First Owner,4,150,Bajaj
2807,45000,38500,First Owner,7,220,Bajaj
2808,43000,12000,First Owner,3,125,Hero
2809,65000,25000,First Owner,4,220,Bajaj
2810,85000,32000,First Owner,7,150,Yamaha
2811,60000,52667,First Owner,8,150,Yamaha
2812,110000,30000,First Owner,9,500,Royal Enfield
2813,173000,18500,First Owner,5,390,KTM
2814,98000,20783,First Owner,5,350,Royal Enfield
2815,75000,47489,First Owner,5,150,Yamaha
2816,450000,1174,Second Owner,3,750,Harley-Davidson
2817,80000,34000,First Owner,8,350,Royal Enfield
2818,190000,9500,First Owner,4,390,KTM
2819,42000,15000,First Owner,5,125,Hero
2820,55000,18934,First Owner,6,160,TVS
2821,62000,8500,First Owner,5,220,Bajaj
2822,12000,72901,First Owner,16,125,Bajaj
2823,35590,45217,Second Owner,7,220,Bajaj
2824,45000,30000,First Owner,6,150,Bajaj
2825,76000,481,First Owner,3,150,Suzuki
2826,50700,16000,First Owner,7,220,Bajaj
2827,43999,50000,Second Owner,8,200,Bajaj
2828,60000,6193,First Owner,6,220,Bajaj
2829,101400,30000,First Owner,7,500,Royal Enfield
2830,110000,5921,First Owner,6,500,Royal Enfield
2831,105000,15000,First Owner,3,350,Royal Enfield
2832,55000,20000,First Owner,9,220,Bajaj
2833,70000,9355,First Owner,4,150,Yamaha
2834,85500,5645,First Owner,4,350,Royal Enfield
2835,85000,16439,Second Owner,6,350,Royal Enfield
2836,125000,15888,First Owner,5,500,Royal Enfield
2837,73000,5000,First Owner,5,220,Bajaj
2838,99000,1958,First Owner,2,220,Bajaj
2839,54500,50000,First Owner,8,150,Yamaha
2840,35000,25651,First Owner,10,220,Bajaj
2841,30000,7004,First Owner,5,100,Bajaj
2842,48700,16000,First Owner,6,220,Bajaj
2843,19000,35000,First Owner,13,150,Bajaj
2844,154800,3800,First Owner,6,200,KTM
2845,66000,11500,First Owner,5,160,Honda
2846,104000,27623,First Owner,5,350,Royal Enfield
2847,66000,20919,First Owner,6,220,Bajaj
2848,105000,11600,First Owner,7,350,Royal Enfield
2849,60000,25000,First Owner,6,220,Bajaj
2850,25000,45000,First Owner,10,150,Bajaj
2851,90000,8740,First Owner,6,150,Honda
2858,50000,16000,First Owner,3,150,Bajaj
2859,22500,33000,First Owner,11,160,TVS
2860,100000,60000,First Owner,4,350,Royal Enfield
2861,45000,17400,First Owner,6,160,Honda
2862,90000,22000,First Owner,7,350,Royal Enfield
2863,14000,50000,First Owner,12,150,Bajaj
2864,124000,12827,First Owner,4,500,Royal Enfield
2865,118000,15256,First Owner,3,350,Royal Enfield
2866,20000,60000,Second Owner,12,180,Bajaj
2867,15000,27000,First Owner,18,150,Bajaj
2868,32000,34378,First Owner,7,135,Bajaj
2869,17000,47543,First Owner,8,125,Bajaj
2870,16500,41012,First Owner,10,150,Bajaj
2871,550000,11000,First Owner,5,650,Kawasaki
2872,120000,15148,First Owner,4,350,Royal Enfield
2876,37000,48500,First Owner,11,150,Yamaha
2877,25000,41004,First Owner,11,150,Yamaha
2878,48000,17505,Second Owner,10,150,Yamaha
2879,190000,10500,First Owner,6,250,Hyosung
2880,110000,2500,First Owner,4,150,Yamaha
2881,230000,1900,First Owner,4,390,KTM
2882,19000,39858,First Owner,11,150,Bajaj
2883,26000,32489,First Owner,7,125,Honda
2884,110000,27240,Second Owner,7,390,KTM
2885,22500,17644,First Owner,8,125,Honda
2886,65000,12917,First Owner,3,160,TVS
2887,23000,23244,First Owner,5,110,TVS
2888,23000,17853,First Owner,8,100,Hero
2889,25000,24510,First Owner,5,100,Bajaj
2890,20000,21000,First Owner,14,125,Bajaj
2891,65000,73281,First Owner,3,150,Suzuki
2892,17000,26886,First Owner,10,100,Hero
2893,13000,32042,First Owner,10,125,Bajaj
2894,70000,15671,First Owner,5,150,Honda
2895,23000,14364,First Owner,8,100,Hero
2896,120000,2701,First Owner,4,500,Royal Enfield
2897,40500,10489,First Owner,5,125,Honda
2898,130000,2503,First Owner,4,350,Royal Enfield
2899,66700,16600,First Owner,5,150,Suzuki
2900,55000,29000,First Owner,4,150,Suzuki
2901,36000,36000,First Owner,6,100,Hero
2902,35000,19000,First Owner,8,150,Bajaj
2903,110000,10400,First Owner,4,350,Royal Enfield
2904,30000,25000,First Owner,8,100,Hero
2905,27500,25000,First Owner,9,100,Hero
2906,1400000,3174,First Owner,4,1200,Ducati
2907,45000,35866,First Owner,5,160,Honda
2908,27167,27110,First Owner,7,100,Hero
2909,109000,19274,Second Owner,2,150,Yamaha
2910,170000,14500,First Owner,4,390,KTM
2911,14000,52902,First Owner,13,135,Bajaj
2912,31000,17000,Third Owner,5,150,Bajaj
2913,215000,4500,First Owner,3,390,KTM
2914,111600,22000,First Owner,7,350,Royal Enfield
2915,25000,25388,First Owner,11,220,Bajaj
2916,85000,17500,Second Owner,6,350,Royal Enfield
2917,110000,10111,First Owner,3,350,Royal Enfield
2918,95000,8901,First Owner,4,350,Royal Enfield
2919,110000,9053,First Owner,4,350,Royal Enfield
2920,16000,26276,First Owner,11,100,Hero
2921,75000,6625,First Owner,4,200,Bajaj
2922,32000,12000,First Owner,6,100,Hero
2923,35000,28000,First Owner,9,150,Yamaha
2924,27000,39000,First Owner,7,150,Bajaj
2925,97000,45000,First Owner,8,350,Royal Enfield
2926,95000,15000,First Owner,5,350,Royal Enfield
2927,22000,23000,First Owner,10,180,Bajaj
2928,35000,23905,First Owner,7,125,Honda
2929,184000,1380,First Owner,2,410,Royal Enfield
2930,25000,26533,First Owner,5,100,Bajaj
2931,50000,13141,First Owner,4,160,Honda
2932,12000,43596,First Owner,11,150,Bajaj
2933,35000,37000,First Owner,7,150,Honda
2934,90000,2539,First Owner,7,500,Royal Enfield
2935,120000,12827,First Owner,4,500,Royal Enfield
2936,95000,16000,First Owner,6,350,Royal Enfield
2937,21500,30000,First Owner,9,100,Bajaj
2938,18000,24657,First Owner,12,125,Honda
2939,27000,102892,First Owner,8,100,Bajaj
2940,22000,14459,First Owner,5,100,Bajaj
2941,82000,41292,First Owner,6,200,Bajaj
2942,10000,27000,First Owner,16,100,Bajaj
2943,61000,14159,First Owner,8,350,Royal Enfield
2944,28000,24310,First Owner,7,125,Honda
2945,21500,22398,First Owner,5,100,Bajaj
2946,20000,65000,First Owner,10,150,Bajaj
2947,38000,19300,Second Owner,4,150,Suzuki
2948,190000,2000,First Owner,2,295,Jawa
2949,200000,16000,First Owner,3,390,KTM
2950,125000,36000,First Owner,4,350,Royal Enfield
2951,45000,40718,First Owner,7,150,Yamaha
2952,62000,1800,First Owner,2,100,Hero
2953,76000,17000,First Owner,4,150,Suzuki
2954,106400,10000,First Owner,3,150,Yamaha
2955,85000,7444,First Owner,3,150,Suzuki
2956,360000,7093,First Owner,3,310,BMW
2957,35599,14616,First Owner,3,100,Bajaj
2958,60000,838,First Owner,3,160,TVS
2959,43000,13500,First Owner,5,125,Bajaj
2960,47000,24000,Second Owner,4,180,TVS
2961,110000,27000,First Owner,5,350,Royal Enfield
2962,73000,13175,Second Owner,5,150,Yamaha
2963,86300,18500,First Owner,5,200,Bajaj
2964,45000,27700,First Owner,7,200,Bajaj
2965,81300,8331,First Owner,3,160,Honda
2966,73000,2055,First Owner,3,180,Bajaj
2967,135000,4549,First Owner,2,125,KTM
2968,55000,20363,First Owner,4,180,TVS
2969,36000,35688,First Owner,6,180,TVS
2970,41000,5095,First Owner,5,150,Bajaj
2971,140000,6000,First Owner,2,125,KTM
2972,65000,27700,First Owner,5,150,Suzuki
2973,19500,10000,First Owner,14,100,Hero
2974,38000,40000,First Owner,6,220,Bajaj
2975,24000,59944,First Owner,8,180,Bajaj
2976,14900,99890,First Owner,17,125,Bajaj
2977,22000,38000,First Owner,10,135,Bajaj
2978,95000,50000,Third Owner,43,350,Royal Enfield
2979,132000,6100,First Owner,3,350,Royal Enfield
2980,135000,85000,First Owner,43,350,Royal Enfield
2981,45297,55268,First Owner,5,160,Honda
2982,137000,8400,First Owner,2,350,Royal Enfield
2983,15000,48000,First Owner,17,100,Bajaj
2984,20000,19420,First Owner,10,100,Hero
2985,18800,46555,First Owner,10,180,Bajaj
2986,19000,22617,First Owner,9,150,Yamaha
2987,35000,10181,First Owner,4,100,Bajaj
2988,165000,10000,First Owner,4,200,KTM
2989,51000,23564,First Owner,8,223,Hero
2990,85000,10000,Second Owner,9,500,Royal Enfield
2991,26000,15099,First Owner,9,100,Hero
2992,27000,11237,First Owner,9,100,Hero
2993,52500,24487,First Owner,4,150,Suzuki
2994,13000,32641,First Owner,13,150,Honda
2995,155000,7500,First Owner,4,200,KTM
2996,56000,47000,First Owner,16,350,Royal Enfield
2997,65000,4500,First Owner,5,149,Hero
2998,482000,7500,First Owner,6,883,Harley-Davidson
2999,95000,9392,Fourth Owner Or More,6,350,Royal Enfield
3000,35000,12669,First Owner,4,125,Hero
3001,65000,7421,First Owner,3,160,TVS
3002,28000,32914,First Owner,5,100,Hero
3003,23000,62433,Second Owner,7,100,Hero
3004,23000,16286,First Owner,9,100,Hero
3005,29000,29189,First Owner,4,135,Bajaj
3006,18000,50732,First Owner,10,125,Bajaj
3007,1000000,1500,First Owner,4,1200,Triumph
3008,50000,42149,First Owner,4,150,Bajaj
3009,120000,14290,First Owner,5,410,Royal Enfield
3010,45000,26500,Second Owner,7,180,TVS
3011,50000,38000,First Owner,12,150,Yamaha
3012,30000,34500,Second Owner,7,150,Yamaha
3013,45000,16106,First Owner,3,110,Honda
3014,28000,17942,First Owner,6,100,Hero
3015,90000,2000,First Owner,4,350,Royal Enfield
3016,1500000,18000,First Owner,4,1000,BMW
3017,69000,25000,First Owner,9,150,Yamaha
3018,21000,20386,First Owner,9,100,Bajaj
3019,51000,18791,First Owner,6,220,Bajaj
3020,51000,17261,First Owner,3,125,Honda
3021,40500,39125,First Owner,6,180,TVS
3022,16900,30000,Second Owner,13,223,Hero
3023,79990,60000,First Owner,8,200,KTM
3024,23000,67000,First Owner,13,223,Hero
3025,27000,23000,First Owner,3,100,Bajaj
3026,79000,32000,First Owner,6,200,Bajaj
3027,26200,29000,First Owner,10,125,Bajaj
3028,18000,19687,First Owner,10,125,Honda
3029,55000,2309,First Owner,2,100,Hero
3030,128700,11300,First Owner,5,200,KTM
3031,50000,7500,First Owner,3,150,Bajaj
3032,13000,44000,First Owner,13,125,Bajaj
3033,26000,27454,First Owner,9,150,Yamaha
3034,130000,13000,First Owner,4,350,Royal Enfield
3035,35000,37000,First Owner,9,150,Honda
3036,44000,36000,First Owner,6,180,TVS
3037,15000,28757,First Owner,13,110,TVS
3038,20000,46007,First Owner,13,223,Hero
3039,32000,11278,First Owner,11,220,Bajaj
3040,24000,18085,First Owner,7,125,Bajaj
3041,20500,47057,First Owner,9,100,Bajaj
3042,19000,74594,First Owner,11,100,Bajaj
3043,33969,33075,Second Owner,8,220,Bajaj
3044,25000,6500,Second Owner,7,125,Bajaj
3045,106080,4633,First Owner,4,400,Bajaj
3046,120000,48000,Second Owner,8,500,Royal Enfield
3047,39000,12457,First Owner,3,110,Hero
3048,28000,13290,First Owner,4,100,Bajaj
3053,110000,14201,First Owner,5,350,Royal Enfield
3055,90000,8800,First Owner,3,250,Yamaha
3056,32000,10005,First Owner,5,110,Honda
3057,120000,11000,First Owner,3,350,Royal Enfield
3058,120000,33360,First Owner,5,410,Royal Enfield
3059,54000,18454,First Owner,4,160,TVS
3060,19000,49826,First Owner,13,100,Hero
3061,30000,33907,First Owner,4,100,Bajaj
3062,80000,23000,First Owner,4,250,Yamaha
3063,12000,45000,First Owner,12,150,Hero
3064,22000,65585,First Owner,11,110,Honda
3065,22000,30378,First Owner,9,150,Yamaha
3066,25000,31634,First Owner,8,150,Bajaj
3067,100000,28000,First Owner,5,250,Honda
3068,47000,12643,Second Owner,9,150,Yamaha
3069,36000,21905,First Owner,9,160,TVS
3070,110000,24000,First Owner,7,500,Royal Enfield
3071,94000,893,First Owner,2,160,TVS
3072,850000,13223,First Owner,12,1300,Suzuki
3073,21000,20000,First Owner,9,100,Hero
3074,125000,24451,First Owner,3,200,KTM
3075,35000,38195,First Owner,7,150,Honda
3076,18700,34409,First Owner,7,110,Mahindra
3077,60000,68,First Owner,3,125,Honda
3078,32000,18080,First Owner,5,100,Hero
3079,25000,68717,First Owner,9,125,Hero
3080,23000,44002,First Owner,5,100,Bajaj
3081,35000,27877,First Owner,4,110,Hero
3082,55000,12500,First Owner,6,220,Bajaj
3083,19000,17272,First Owner,8,135,Bajaj
3084,170000,8015,First Owner,2,500,Royal Enfield
3085,12000,67569,First Owner,13,100,Hero
3086,26000,32145,First Owner,5,125,Hero
3087,22000,38755,First Owner,8,125,Hero
3088,39000,29330,First Owner,6,180,Bajaj
3089,239000,1264,First Owner,2,500,Royal Enfield
3090,32000,38327,First Owner,4,125,Bajaj
3091,30000,12696,First Owner,4,100,Bajaj
3092,51000,20683,First Owner,5,125,Honda
3093,135000,23000,First Owner,3,350,Royal Enfield
3094,32000,19510,First Owner,9,135,Bajaj
3095,650000,16000,First Owner,4,675,Triumph
3096,190000,2500,First Owner,2,200,KTM
3097,161300,17000,First Owner,5,535,Royal Enfield
3098,190000,2600,First Owner,2,250,KTM
3099,18000,13290,First Owner,9,100,Hero
3100,32000,23553,Second Owner,6,150,Bajaj
3101,48000,1850,First Owner,2,110,Bajaj
3102,25000,90393,First Owner,10,180,Bajaj
3103,16000,13551,First Owner,13,125,Hero
3104,17000,32997,First Owner,11,100,Bajaj
3105,57000,28000,First Owner,7,150,Yamaha
3106,33000,12992,First Owner,3,100,Bajaj
3121,9000,72302,First Owner,15,110,TVS
3122,36000,6652,First Owner,4,150,Bajaj
3123,51715,13191,Second Owner,8,150,Yamaha
3124,120000,39000,First Owner,6,350,Royal Enfield
3125,75000,8600,First Owner,4,220,Bajaj
3126,70000,15000,First Owner,5,220,Bajaj
3127,107000,14000,First Owner,5,410,Royal Enfield
3128,42000,59589,First Owner,6,150,Honda
3129,18000,50000,First Owner,10,125,Honda
3130,22000,14978,First Owner,9,100,Hero
3131,29500,19000,First Owner,8,100,Hero
3132,90000,12131,First Owner,3,160,TVS
3133,32000,34859,First Owner,3,100,Bajaj
3134,32000,12000,First Owner,2,100,Bajaj
3135,30000,26701,First Owner,5,150,Bajaj
3137,200000,167,First Owner,2,390,KTM
3138,640000,7500,Second Owner,4,900,Triumph
3139,50000,43900,First Owner,7,150,Suzuki
3140,38000,12500,First Owner,4,125,Hero
3141,52000,11226,First Owner,5,220,Bajaj
3142,37000,18067,First Owner,7,100,Hero
3144,20000,30000,First Owner,14,150,Bajaj
3145,120000,23500,First Owner,6,500,Royal Enfield
3146,24000,18300,First Owner,9,110,Hero
3147,31000,30000,Second Owner,7,150,Bajaj
3148,33000,27836,First Owner,4,150,Bajaj
3149,31500,80353,Second Owner,10,220,Bajaj
3150,19000,48754,First Owner,9,100,Bajaj
3151,35000,15071,First Owner,4,150,Bajaj
3152,70000,38000,First Owner,4,160,Honda
3153,15000,7900,First Owner,12,125,Honda
3154,43000,9430,First Owner,5,150,Bajaj
3158,45000,15910,First Owner,7,150,Yamaha
3160,170000,8000,First Owner,5,390,KTM
3161,32000,35000,First Owner,10,220,Bajaj
3162,45000,39000,First Owner,5,220,Bajaj
3163,42400,23000,First Owner,7,220,Bajaj
3164,70000,9000,First Owner,3,150,Suzuki
3165,66700,5000,First Owner,5,200,Bajaj
3166,160000,1189,First Owner,2,350,Royal Enfield
3167,145000,23085,First Owner,7,390,KTM
3168,24000,39000,First Owner,10,150,Bajaj
3169,100000,100000,First Owner,19,350,Royal Enfield
3170,120000,26400,First Owner,8,390,KTM
3171,95000,5493,First Owner,2,150,Suzuki
3172,66000,17545,First Owner,3,150,Suzuki
3173,47000,16000,First Owner,5,220,Bajaj
3174,26000,51875,First Owner,9,160,TVS
3175,85000,7000,First Owner,2,160,Bajaj
3176,18000,79000,First Owner,11,125,Hero
3177,35000,34000,First Owner,9,200,Bajaj
3178,82000,52198,First Owner,2,160,TVS
3180,55000,27200,First Owner,11,150,Honda
3181,19400,50000,First Owner,5,100,Bajaj
3182,82000,11766,First Owner,8,350,Royal Enfield
3183,50000,9500,First Owner,7,220,Bajaj
3184,57000,18374,Second Owner,5,160,Honda
3185,34000,19000,First Owner,7,100,Hero
3186,100000,10784,Second Owner,5,150,Yamaha
3187,23000,51000,First Owner,8,125,Bajaj
3188,23000,22310,First Owner,11,125,Honda
3189,130000,16000,First Owner,6,500,Royal Enfield
3190,200000,10000,First Owner,4,500,Royal Enfield
3191,750000,1550,First Owner,2,797,Ducati
3199,15000,52000,First Owner,15,180,Bajaj
3214,18000,27391,First Owner,9,180,Bajaj
3215,16000,18002,First Owner,15,150,Bajaj
3216,28000,22047,First Owner,7,180,Bajaj
3217,90000,6465,First Owner,9,350,Royal Enfield
3218,115100,15184,First Owner,5,390,KTM
3219,110147,13193,First Owner,5,390,KTM
3220,130000,27000,First Owner,6,390,KTM
3223,95000,3500,First Owner,6,200,Bajaj
3224,23300,52000,First Owner,15,100,Hero
3225,19000,2872,First Owner,9,150,Honda
3226,35100,15000,First Owner,5,110,Hero
3227,150000,10956,First Owner,3,250,Honda
3228,24500,17874,First Owner,6,125,Hero
3229,28000,31634,First Owner,6,150,Bajaj
3230,30000,22000,First Owner,6,150,Bajaj
3231,27000,6042,First Owner,5,150,Bajaj
3232,26200,17000,First Owner,6,150,Bajaj
3233,75500,25212,First Owner,6,350,Royal Enfield
3234,110000,4831,First Owner,3,200,Bajaj
3235,28000,21171,First Owner,5,110,TVS
3236,42000,12737,First Owner,4,100,Hero
3237,34500,13219,First Owner,9,160,TVS
3238,17900,23719,First Owner,14,135,Bajaj
3239,34000,13820,First Owner,7,100,Hero
3240,90000,10000,First Owner,3,150,Yamaha
3241,45000,33000,First Owner,9,150,Yamaha
3242,320000,8000,First Owner,3,302,Benelli
3243,80000,24000,First Owner,12,350,Royal Enfield
3251,200000,8094,First Owner,3,410,Royal Enfield
3252,50000,6150,First Owner,3,150,Bajaj
3253,70000,17187,First Owner,5,200,Bajaj
3254,84000,39301,First Owner,5,350,Royal Enfield
3255,140000,7300,First Owner,3,350,Royal Enfield
3256,29000,67987,Second Owner,5,150,Hero
3257,23000,14244,First Owner,7,100,Hero
3258,96000,25000,First Owner,7,390,KTM
3259,24000,20000,First Owner,9,100,Hero
3260,51000,9200,First Owner,5,180,Bajaj
3261,89700,918,First Owner,4,220,Bajaj
3262,135000,5000,First Owner,2,125,KTM
3263,23000,38499,Second Owner,11,100,Hero
3264,12000,38000,First Owner,15,180,Bajaj
3270,25500,19000,First Owner,8,100,Bajaj
3271,110000,9000,First Owner,7,500,Royal Enfield
3272,65000,30000,First Owner,9,220,Bajaj
3273,73000,11000,First Owner,7,150,Yamaha
3274,90000,16000,Second Owner,6,200,Bajaj
3275,165000,19500,First Owner,6,500,Royal Enfield
